#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Thu Apr 25 00:35:36 EDT 2024,0,0,Assignment4TwoClientSuite, , ,RMITwoClientConnection+ RMITwoClientReadWriteNonAtomic+ ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments ,0,0,true,RMITwoClientConnection RMITwoClientReadWriteNonAtomic , , ,RMITwoClientConnection-(0.0/20.0) RMITwoClientReadWriteNonAtomic-(0.0/20.0) , ,
0,Thu Apr 25 00:35:36 EDT 2024,0,0,Assignment4TwoClientSuite, , ,RMITwoClientConnection+ RMITwoClientReadWriteNonAtomic+ ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments ,0,0,true,RMITwoClientConnection RMITwoClientReadWriteNonAtomic , , ,RMITwoClientConnection-(0.0/20.0) RMITwoClientReadWriteNonAtomic-(0.0/20.0) , ,
1,Thu Apr 25 00:35:38 EDT 2024,0,0,A4GeneralStyleSuite, , ,A4AccessModifiersMatched+ A4InterfaceAsType+ A4MnemonicNames+ A4NamedConstants+ A4NoCheckstyleWarnings+ A4PublicMethodsOverride+ RMITwoClientConnection RMITwoClientReadWriteNonAtomic ,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments ,0,1,true,A4AccessModifiersMatched A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride , ,A4AccessModifiersMatched A4MnemonicNames A4NoCheckstyleWarnings A4PublicMethodsOverride ,A4AccessModifiersMatched-(0.0/5.0) A4InterfaceAsType-(0.0/10.0) A4MnemonicNames-(0.0/10.0) A4NamedConstants-(0.0/1.0) A4NoCheckstyleWarnings-(0.0/10.0) A4PublicMethodsOverride-(0.0/5.0) , ,
1,Thu Apr 25 00:35:38 EDT 2024,0,0,A4GeneralStyleSuite, , ,A4AccessModifiersMatched+ A4InterfaceAsType+ A4MnemonicNames+ A4NamedConstants+ A4NoCheckstyleWarnings+ A4PublicMethodsOverride+ RMITwoClientConnection RMITwoClientReadWriteNonAtomic ,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments ,0,1,true,A4AccessModifiersMatched A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride , ,A4AccessModifiersMatched A4MnemonicNames A4NoCheckstyleWarnings A4PublicMethodsOverride ,A4AccessModifiersMatched-(0.0/5.0) A4InterfaceAsType-(0.0/10.0) A4MnemonicNames-(0.0/10.0) A4NamedConstants-(0.0/1.0) A4NoCheckstyleWarnings-(0.0/10.0) A4PublicMethodsOverride-(0.0/5.0) , ,
2,Thu Apr 25 00:35:45 EDT 2024,0,0,Assignment4OneClientSuite, , ,A4AccessModifiersMatched A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride RMIOneClientConnection+ RMIOneClientReadWriteNonAtomic+ RMIStaticArguments+ RMITwoClientConnection RMITwoClientReadWriteNonAtomic ,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined ,0,2,true,RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments , , ,RMIOneClientConnection-(0.0/20.0) RMIOneClientReadWriteNonAtomic-(0.0/20.0) RMIStaticArguments-(0.0/20.0) , ,
2,Thu Apr 25 00:35:45 EDT 2024,0,0,Assignment4OneClientSuite, , ,A4AccessModifiersMatched A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride RMIOneClientConnection+ RMIOneClientReadWriteNonAtomic+ RMIStaticArguments+ RMITwoClientConnection RMITwoClientReadWriteNonAtomic ,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined ,0,2,true,RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments , , ,RMIOneClientConnection-(0.0/20.0) RMIOneClientReadWriteNonAtomic-(0.0/20.0) RMIStaticArguments-(0.0/20.0) , ,
3,Thu Apr 25 00:35:45 EDT 2024,0,0,A4SpecificStyleSuite, , ,A4AccessModifiersMatched A4ExpectedCalls+ A4ExpectedInterfaces+ A4ExpectedSignatures+ A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls+ A4TaggedClassesDefined+ RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,0,3,true,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined , , ,A4ExpectedCalls-(0.0/20.0) A4ExpectedInterfaces-(0.0/5.0) A4ExpectedSignatures-(0.0/5.0) A4SpuriousCalls-(0.0/20.0) A4TaggedClassesDefined-(0.0/10.0) , ,
3,Thu Apr 25 00:35:45 EDT 2024,0,0,A4SpecificStyleSuite, , ,A4AccessModifiersMatched A4ExpectedCalls+ A4ExpectedInterfaces+ A4ExpectedSignatures+ A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls+ A4TaggedClassesDefined+ RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,0,3,true,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined , , ,A4ExpectedCalls-(0.0/20.0) A4ExpectedInterfaces-(0.0/5.0) A4ExpectedSignatures-(0.0/5.0) A4SpuriousCalls-(0.0/20.0) A4TaggedClassesDefined-(0.0/10.0) , ,
4,Sun Apr 28 14:25:02 EDT 2024,0,0,A4SpecificStyleSuite, , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,1,0,true,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined , , ,A4ExpectedCalls-(0.0/20.0) A4ExpectedInterfaces-(0.0/5.0) A4ExpectedSignatures-(0.0/5.0) A4SpuriousCalls-(0.0/20.0) A4TaggedClassesDefined-(0.0/10.0) , ,
4,Sun Apr 28 14:25:02 EDT 2024,0,0,A4SpecificStyleSuite, , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,1,0,true,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined , , ,A4ExpectedCalls-(0.0/20.0) A4ExpectedInterfaces-(0.0/5.0) A4ExpectedSignatures-(0.0/5.0) A4SpuriousCalls-(0.0/20.0) A4TaggedClassesDefined-(0.0/10.0) , ,
5,Sun Apr 28 14:29:11 EDT 2024,12,12,Assignment4OneClientSuite,RMIOneClientConnection+ RMIStaticArguments+ , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientReadWriteNonAtomic RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,2,0,true,RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments , , ,RMIOneClientConnection-(20.0/20.0) RMIOneClientReadWriteNonAtomic-(0.0/20.0) RMIStaticArguments-(20.0/20.0) , ,
5,Sun Apr 28 14:29:11 EDT 2024,12,12,Assignment4OneClientSuite,RMIOneClientConnection+ RMIStaticArguments+ , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientReadWriteNonAtomic RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,2,0,true,RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments , , ,RMIOneClientConnection-(20.0/20.0) RMIOneClientReadWriteNonAtomic-(0.0/20.0) RMIStaticArguments-(20.0/20.0) , ,
